 type, regiid, townid, quartid, price (Euro), area, euro/sq.m., constr., year, floor, TEC,published or renewed, valid_date, seller
 3-СТАЕН, София, гр. София, Център,121500,103,1179.61, Тухла,0,4, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,143000,114,1254.38, Тухла,0,5, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Сухата река,88200,99,890.9, Тухла,0,2, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Подуяне,88200,99,890.9, Тухла,0,2, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Оборище,88200,99,890.9, Тухла,0,2, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,88200,99,890.9, Тухла,0,2, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Студентски град,63000,84,750, Тухла,2020,3, НЕ, 2019-03-28, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Младост 1,228000,152,1500, Тухла,0,5, ДА, 2019-03-31, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Слатина,115000,104,1105.76, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,98700,83,1189.15, Тухла,0,3, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 6,61978,88,704.29, Тухла,0,1, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Банишора,110000,93,1182.79, Тухла,0,6, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Овча купел 1,101303,119,851.28, Тухла,0,6, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Младост 4,134538,113,1190.6, Тухла,0,5, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Манастирски ливади,138600,126,1100, Тухла,0,1, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Малинова долина,104871,113,928.06, Тухла,0,8, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Овча купел 1,101303,119,851.28, Тухла,0,4, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,81596,82,995.07, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Младост 4,134538,113,1190.6, Тухла,0,4, ДА, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,106752,107,997.68, Тухла,0,1, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Дианабад,172000,123,1398.37, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,121769,136,895.36, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Витоша,121769,136,895.36, Тухла,0,3, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Център,207261,141,1469.93, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Малинова долина,90466,106,853.45, Тухла,0,7, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Слатина,156450,156,1002.88, Тухла,0,3, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Люлин 6,57736,82,704.09, Тухла,0,4, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Малинова долина,87860,95,924.84, Тухла,0,4, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Левски Г,83480,104,802.69, Тухла,0,6, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Карпузица,83368,98,850.69, Тухла,0,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Левски,126950,160,793.43, Тухла,2007,6, НЕ, 2019-03-19, 2019-03-31, Агенция
 3-СТАЕН, София, гр. София, Стрелбище,147000,170,864.7, ЕПК,1990,2, НЕ, 2019-03-20, 2019-03-31, Агенция
